"id","type","model","model_id","category","title","detail","url","status","priority","created","modified"
"2","ブログ","BlogContent","1","","コンテンツ","ページのコンテンツを管理します","/data/index","1","0.5","2014-02-17 19:26:31","2015-08-15 21:50:30"
"5","ページ","Page","1","","Index","","/index","1","0.5","2015-08-09 16:50:45","2015-08-11 14:26:28"
"6","メール","MailContent","1","","お問い合わせ","* 印の項目は必須となりますので、必ず入力してください。","/contact/index","1","0.5","2015-08-11 03:23:37","2015-09-01 19:33:44"
"14","ブログ","BlogPost","8","コンセプト","ZENデザイン","ZENとは禅に由来した造語で無駄のない機能的で美しいデザインを意味します。シンプルさを際立てたZENデザインはマイナスのデザインではたどり着けませんでした。 2005年ごろからWebにおいてマイナスのデザインが注目されはじめました。余計な要素を追加していくのではなく、不要な要素を削って必要な情報を残す、それがマイナスのデザインです。マイナスのデザインによってページはシンプルになり、美しいデザインが実現されるはずでした。しかし、すぐに問題に直面しました。Webの8割は不要なものでできていて、それを削るのには多くの時間を要しました。そして、多くの時間を使って削りきった後に残るのは、ちぐはぐになったコンテンツでした。それらのコンテンツをつなぎ合わせるためには結局無断なコンテンツをプラスしないといけなくなったのです。ZENデザインそこで、いままで積み重ねてきたしがらみやコンテンツを一度捨てて、ゼロから本当に必要な物を1つずつ慎重に選んでプラスすることにしました。8割を削るより2割を作り出すほうがずっと容易だったのです。","/data/archives/1","1","0.5","2015-08-12 13:49:50","2015-09-01 19:36:38"
"15","ブログ","BlogPost","9","コンセプト","要らないもの","今までのWebサイトには不要なものがたくさんありました。 複雑怪奇になったデザインには様々なものが潜んでいました。もはや、なんのために作ったかわからない無数のdivタグ誰も削ることが許されない数千行に及ぶスタイルシート環境依存を解決するという触れ込みの環境依存したJavaScritpとりあえず、試しにつけてみた機能の残骸なんの情報も伝えないアニメーション誰も訪れたことがないサイトマップ10年前の社長あいさつ・・・スマートフォン対応やタッチパネル対応でこれらの要素はさらに増えていくように見えました。","/data/archives/2","1","0.5","2015-08-12 14:23:03","2015-08-17 03:09:02"
"16","ブログ","BlogPost","10","コンセプト","必要なもの","必要だけれど欠けているものもたくさんありました。 使いやすいレスポンシブデザイン。ユーザーを満足させるSEO対策。ソーシャルメディアへの対応。Retina対応。シンプルな操作性。従来これらは、既存のサイトにそれぞれの機能を追加して実現されていました。そのためページは複雑化し、相反する要素で妥協を強いられることも少なくありませんでした。そこでSStyleでは最初から必要機能はなにかを検討した上で、コンセプトSとしてゼロからサイト開発を始めました。","/data/archives/3","1","0.5","2015-08-12 14:29:26","2015-09-01 19:47:05"
"17","ブログ","BlogPost","11","主な特徴","Start","一番最初に始めたことは正しいHTMLを作ることでした。 HTMLには本来それ単体で意味を伝えて、レスポンシブに振る舞う力があります。世の中のすべてのブラウザはHTMLを解釈してそれを環境に最適に表示する機能を持っています。&nbsp;SStyleではHTMLはサイトの最も重要な背骨であると考えています。そのため、CSSを開発する前に徹底的に正しいHTMLを書き出すことにこだわりました。正しいHTML,それは文書構造が正しく記載された、エラーのないHTMLです。本来エラーがないことは当たり前のことですが、おどろくべきことに多くのWebサイトでHTMLのエラーが放置されています。SStyleはすべてのページでHTML5のValidationをクリアしました。単に仕様をクリアしているだけではありません。ぜひ、スタイルシートを無効にしてWebサイトを見てください。HTMLが正しい文書構造になっているのでスタイルシートによる装飾がなくとも、ブラウザは正しい文書構造を保ちユーザーに意味を伝えることが可能です。このことは新しいブラウザやデバイスが登場してもページとしての価値を失わないということを意味します。また、マイナーなブラウザーや機能が不足したブラウザーでも正しく意味を伝えることが出来ます。CSSやJavaScriptで見た目を繕う前にHTMLだけでやれることがあるのです。","/data/archives/4","1","0.5","2015-08-12 14:54:44","2015-09-01 19:54:55"
"18","ブログ","BlogPost","12","主な特徴","Smat Phone","SStyleはモバイルファーストの考えで作られています。しかし、Media QueryやJavaScriptなどの特別な機能は使っていません。 Media QueryもJava Scriptも使わずにどうやってWebサイトをスマートフォンに最適化させるのでしょうか？特別な魔法があるのでしょうか？正解は「何もしない」それだけです。思い出してください。HTMLはもともとレスポンシブです。HTMLの仕様は特定のデバイスやブラウザを想定することなく作られました。ブラウザはHTMLをデバイスに最適な状態で表示する機能を備えています。Webがレスポンシブでなくなるのは、CSSやTableタグで特定の画面に依存した機能を追加した時です。本来正しいHTMLを書いたら、「余計なことを何もしない」それでレスポンシブなサイトは完成します。SStyleではゼロから開発する上で特定の環境に依存しないよう慎重に機能を選びました。そのため、iPhoneでもAndroidでもPCでもすべて同じURLですべて同じコンテンツを見ることが出来ます。特定の環境で何かが削られたり、見た目が大幅に変わったりすることはありません。特定の端末に最適化したデザインをしないことで、すべての端末に最適化したデザインを作ることが出来ました。","/data/archives/5","1","0.5","2015-08-12 15:03:07","2015-08-17 04:41:51"
"19","ブログ","BlogPost","13","主な特徴","SEO","SEOに求められるのは検索エンジンの表示順だけではありません。訪問者の満足度が上がるSEOを目指しました。 SEOというと検索エンジンの上位にいかに表示されるかばかりが注目されています。しかしSStyleの考えるSEOはそれだけではありません。直帰率を上げろ直帰率とは訪問者が訪れたページから別のページに移ることなくページを閉じてしまう割合です。従来直帰率は低ければ低いほどいいとされていました。しかしSStyleは逆の考えです。訪問者が正しいページに最初から訪れることが出来れば直帰率は上がるはずです。Webサイトに求められるのは訪問者の人数ではなく、正しい情報を伝えられるかのはずです。そのため、検索エンジンの順位だけでなく、どのページにリンクされ、どのように紹介されるかを意識したSEOを盛り込みました。そのためにHTMLの構造を正しく記載して、コンテンツと非コンテンツを明確に分けたうえで、Micro dataを埋め込み、検索エンジンにコンテンツの詳細を正しく伝えるようにしています。http://www.w3.org/TR/microdata/ページのコンテンツを気に入ってサイトをもっと見たいと思った人へは、あらゆるページから全てのページへ2クリック以内で到達できます。","/data/archives/6","1","0.5","2015-08-13 17:52:35","2015-09-01 21:25:25"
"20","ブログ","BlogPost","14","主な特徴","Social network","素晴らしいサイトにはTwitterやFacebook、LINEなどのSNSへの対応が必要不可欠です。 SStyleではソーシャルネットワークでの拡散に有利なOGPを出力します。共有されたコンテンツはアイキャッチを伴い、詳細がついた状態で共有されます。しかし、SStyleの魅力はそれだけにとどまりません。余分なコンテンツが省かれたページはSNSから訪れたユーザーを迷うことなくコンテンツへ導きます。PC向けとスマートフォン向けのURLが違っていて、PCユーザーにスマートフォンのサイトが共有されるようなこともありません。PC向けとスマートフォン向けのコンテンツも同じため、PCユーザーが見た情報をスマートフォンのユーザーが見えないということも発生しません。","/data/archives/7","1","0.5","2015-08-13 18:00:42","2015-08-17 02:50:59"
