"id","name","value","created","modified"
"1","name","SStyle","2015-08-07 17:18:45","2015-08-15 21:06:24"
"2","keyword","baser,CMS,コンテンツマネジメントシステム,開発支援","2015-08-07 17:18:45","2015-08-15 21:06:24"
"3","description","baserCMS は、CakePHPを利用し、環境準備の素早さに重点を置いた基本開発支援プロジェクトです。WEBサイトに最低限必要となるプラグイン、そしてそのプラグインを組み込みやすい管理画面、認証付きのメンバーマイページを最初から装備しています。","2015-08-07 17:18:45","2015-08-15 21:06:24"
"4","address","福岡県","2015-08-07 17:18:45","2015-08-15 21:06:24"
"5","theme","sstyle","2015-08-07 17:18:45","2015-08-07 18:00:07"
"6","email","","2015-08-07 17:18:45","2015-09-02 12:35:47"
"7","widget_area","1","2015-08-07 17:18:45","2015-08-15 21:06:24"
"8","maintenance","0","2015-08-07 17:18:45","2015-08-15 21:06:24"
"9","mail_encode","UTF-8","2015-08-07 17:18:45","2015-08-15 21:06:24"
"10","smtp_host","","2015-08-07 17:18:45","2015-08-15 21:06:24"
"11","smtp_user","","2015-08-07 17:18:45","2015-08-15 21:06:24"
"12","smtp_password","","2015-08-07 17:18:45","2015-08-15 21:06:24"
"13","smtp_port","","2015-08-07 17:18:45","2015-08-15 21:06:24"
"14","formal_name","SStyle","2015-08-07 17:18:45","2015-08-15 21:06:24"
"15","admin_list_num","10","2015-08-07 17:18:45","2015-08-15 21:06:24"
"16","google_analytics_id","","2015-08-07 17:18:45","2015-09-02 12:35:47"
"17","content_categories","YTozOntzOjE1OiLjgrPjg7Pjgrvjg5fjg4giO3M6MTU6IuOCs+ODs+OCu+ODl+ODiCI7czoxMjoi5Li744Gq54m55b60IjtzOjEyOiLkuLvjgarnibnlvrQiO3M6OToi5L2/44GE5pa5IjtzOjk6IuS9v+OBhOaWuSI7fQ==","2015-08-07 17:18:45","2015-09-03 05:46:46"
"18","content_types","YTozOntzOjk6IuODluODreOCsCI7czo5OiLjg5bjg63jgrAiO3M6OToi44Oa44O844K4IjtzOjk6IuODmuODvOOCuCI7czo5OiLjg6Hjg7zjg6siO3M6OToi44Oh44O844OrIjt9","2015-08-07 17:18:45","2015-09-03 05:46:46"
"19","root_owner_id","","2015-08-07 17:18:45",""
"20","category_permission","","2015-08-07 17:18:45",""
"21","admin_theme","","2015-08-07 17:18:45",""
"22","login_credit","0","2015-08-07 17:18:45","2015-08-15 21:06:24"
"23","first_access","","2015-08-07 17:18:45","2015-09-02 12:35:47"
"24","editor","BcCkeditor","2015-08-07 17:18:45","2015-08-15 21:06:24"
"25","editor_styles","#青見出し
h3 {
color:Blue;
}
#赤見出し
h3 {
color:Red;
}
#黄マーカー
span {
background-color:Yellow;
}
#緑マーカー
span {
background-color:Lime;
}
#大文字
big {}
#小文字
small {}
#コード
code {}
#削除文
del {}
#挿入文
ins {}
#引用
cite {}
#インライン
q {}","2015-08-07 17:18:45","2015-08-15 21:06:24"
"26","editor_enter_br","0","2015-08-07 17:18:45","2015-08-15 21:06:24"
"27","root_layout_template","default","2015-08-07 17:18:45","2015-08-15 21:06:24"
"28","root_layout_template_mobile","default","2015-08-07 17:18:45","2015-08-15 21:06:24"
"29","root_layout_template_smartphone","default","2015-08-07 17:18:45","2015-08-15 21:06:24"
"30","root_content_template","default","2015-08-07 17:18:45","2015-08-15 21:06:24"
"31","root_content_template_mobile","default","2015-08-07 17:18:45","2015-08-15 21:06:24"
"32","root_content_template_smartphone","default","2015-08-07 17:18:45","2015-08-15 21:06:24"
"33","linked_pages_mobile","0","2015-08-07 17:18:45","2015-08-15 21:06:24"
"34","linked_pages_smartphone","0","2015-08-07 17:18:45","2015-08-15 21:06:24"
"37","admin_side_banner","0","2015-08-07 17:25:43","2015-08-15 21:06:24"
"38","smtp_tls","","2015-08-07 17:25:43","2015-08-15 21:06:24"
"40","version","","2015-09-02 12:35:47","2015-09-02 12:35:47"
